휴게소명,도로종류,도로노선번호,도로노선명,도로노선방향,위도,경도,휴게소종류,휴게소운영시작시각,휴게소운영종료시각,도로점용면적,주차면수,경정비가능여부,주유소유무,LPG충전소유무,전기차충전소유무,버스환승가능여부,쉼터유무,화장실유무,약국유무,수유실유무,매점유무,음식점유무,기타편의시설,휴게소대표음식명,휴게소전화번호,데이터기준일자,제공기관코드,제공기관명,
상개화물차휴게소,시도,광3-3,산업로,상행,35.504483,129.320659,화물차휴게소,00:00,00:00,49166,271,Y,Y,N,N,N,Y,Y,N,N,Y,Y,샤워실+세탁실+수면실+세차장+체력단련실,,052-257-8484,2018-08-14,6310000,울산광역시,
약수화물차휴게소,일반국도,7호선,산업로,하행,35.645302,129.342988,화물차휴게소,00:00,00:00,41915,250,Y,Y,N,N,N,Y,Y,N,N,Y,Y,샤워실+세탁실+수면실+세차장+체력단련실,,052-946-2200,2018-08-14,6310000,울산광역시,
낙동강구미휴게소,고속국도,301번,상주영천고속도로,상행,36.344493,128.300604,일반휴게소,00:00,24:00,48338,258,,Y,Y,,N,,Y,,Y,Y,Y,,,054-475-2971,2018-06-30,5080000,경상북도 구미시,
선산휴게소상지점,고속국도,45번,중부내륙고속도로,상행,36.277908,128.249304,일반휴게소,00:00,24:00,28943,203,N,Y,Y,,Y,Y,Y,N,Y,Y,Y,,,054-482-6011,2018-06-30,5080000,경상북도 구미시,
선산휴게소하지점,고속국도,45번,중부내륙고속도로,하행,36.274211,128.250738,일반휴게소,00:00,24:00,32460,260,N,Y,Y,,Y,Y,Y,N,Y,Y,Y,,,054-482-6031,2018-06-30,5080000,경상북도 구미시,
영덕휴게소,일반국도,7번,일반국도7호선,상행,36.528948,129.403459,일반휴게소,07:00,22:00,18000,150,N,Y,N,N,N,Y,Y,N,N,Y,Y,,육개장,054-734-5980,2018-08-30,5180000,경상북도 영덕군,
병곡휴게소,일반국도,7번,일반국도7호선,상행,36.606818,129.413634,일반휴게소,07:00,20:00,5000,80,N,N,N,N,N,Y,Y,N,N,Y,Y,,정식,054-732-2484,2018-08-30,5180000,경상북도 영덕군,
칠보산휴게소,일반국도,7번,일반국도7호선,하행,36.632392,129.416259,일반휴게소,07:00,22:00,6000,120,N,N,N,N,N,Y,Y,N,N,Y,Y,,부페,054-734-5801,2018-08-30,5180000,경상북도 영덕군,
여수화물자동차휴게소,시도,대로1-4,도시계획도로,,34.797906,127.662228,화물차휴게소,00:00,24:00,0,396,Y,Y,Y,Y,N,Y,Y,N,N,Y,Y,Y,N,061-692-9678,2019-03-01,4810000,전라남도 여수시,
시화나래휴게소,지방도,301,대부황금로,양방향,32.573926,124.8702778,간이휴게소,00:00,23:59,76809,450,N,N,N,Y,N,N,Y,N,Y,Y,Y,ATM,돈까스,032-880-7000,2019-01-30,3930000,경기도 안산시,
시화나래조력문화관 달전망대,지방도,301,대부황금로,양방향,37.312897,126.609219,간이휴게소,10:00,22:00,932.99,0,N,N,N,N,N,N,Y,N,N,N,Y,,스테이크+수제버거+커피,032-889-3365,2019-01-30,3930000,경기도 안산시,
단양(춘천방향)휴게소,고속국도,55,중앙선,,36.939341,128.320788,일반휴게소,00:00,23:59,79980,,,Y,Y,Y,N,Y,Y,,,Y,Y,,수제등심돈가스,043-421-1671,2019-04-20,4480000,충청북도 단양군,
